equipo_id,nombre,liga,division,temporada
133,Athletics,American League,American League West,2025
134,Pittsburgh Pirates,National League,National League Central,2025
135,San Diego Padres,National League,National League West,2025
136,Seattle Mariners,American League,American League West,2025
137,San Francisco Giants,National League,National League West,2025
138,St. Louis Cardinals,National League,National League Central,2025
139,Tampa Bay Rays,American League,American League East,2025
140,Texas Rangers,American League,American League West,2025
141,Toronto Blue Jays,American League,American League East,2025
142,Minnesota Twins,American League,American League Central,2025
143,Philadelphia Phillies,National League,National League East,2025
144,Atlanta Braves,National League,National League East,2025
145,Chicago White Sox,American League,American League Central,2025
146,Miami Marlins,National League,National League East,2025
147,New York Yankees,American League,American League East,2025
158,Milwaukee Brewers,National League,National League Central,2025
108,Los Angeles Angels,American League,American League West,2025
109,Arizona Diamondbacks,National League,National League West,2025
110,Baltimore Orioles,American League,American League East,2025
111,Boston Red Sox,American League,American League East,2025
112,Chicago Cubs,National League,National League Central,2025
113,Cincinnati Reds,National League,National League Central,2025
114,Cleveland Guardians,American League,American League Central,2025
115,Colorado Rockies,National League,National League West,2025
116,Detroit Tigers,American League,American League Central,2025
117,Houston Astros,American League,American League West,2025
118,Kansas City Royals,American League,American League Central,2025
119,Los Angeles Dodgers,National League,National League West,2025
120,Washington Nationals,National League,National League East,2025
121,New York Mets,National League,National League East,2025
